sitzung,titel
205, Bericht vom stud. Mitglied im SAL
205, Bericht zur Lage des Fachrates Lehramt
205, Bericht
205, Bericht: Referat für alle Angelegenheiten des Studierendenwerks
205, Bericht des Gremienreferats
205, Bericht: Vorsitz
205, Bericht
205, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
205, Satzungsänderung: CVE 1 (Wahlordnung)
205, Satzungsänderung: Geschäftsordnung des Studierendenrats
205, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
205, Satzungsänderung: Bewirtungsfaschorichtlinie
205," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
205, „Rechtssicherheit für Beitragsänderungen“
205, Neue Amtszeiten für den Vorsitz
205, Änderungsantrag: Neue Amtszeiten für den Vorsitz
205, Änderungsantrag: Neue Amtszeiten für den Vorsitz
205, Satzungsänderung: Wahlordnung
205, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
205, Neufassung der Satzung der Studienfachschaft Informatik
205, Neufassung der Satzung der Studienfachschaft Mathematik
205, Neufassung der Satzung der Studienfachschaft Physik
205," Wer wählt, der zählt! Positionierung für sich selbst"
205," Änderungsantrag: Wer wählt, der zählt! Positionierung für sich selbst"
205, „Mitgliedschaft im Bundesverband Promovierende e.V.“
205, Cooler Merch für die VS
205, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
205, Aufnehmen von Lecktüchern in den Änderungsantrag
205, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
205, Kondome zu Samen! (zusamen)
205, Studierendenrat fordert konsequente Mülltrennung an der Universität
205, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
205, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
205, Studierendenrat fordert Interimslösung für den Marstall
205, Gründung AK Im Neuenheimer Feld
205, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
205, Gründung eines Nachhaltigkeitsnetzwerk
205, Forderung nach einem Green Offices
205, Transparenz zur Nachhaltigkeitsstrategie
205, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
205, Zum Sozialismus! Zur Koka Kola Freiheit!
205, Mehr Fahrradstellplätze
205, Stoppt die massive Preiserhöhung beim Cappuccino!
205, Ausweitung der Leistungen des Studierendenwerks
205, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
205, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
205, Positionierung: Forderung einer inklusiveren Mensa
205, Positionierung: Verbot von zu heißem Verkehr
205, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
205, Änderungsantrag: MLP aus dem TeM(L)Pel schmeißen!
205, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
205, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
205, Positionierung: Mehr Feld in die Feldmensa
205, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
205, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
205," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
205, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
205, Positionierung: Ja zur Zivilklausel! Nein zur Zivilklausel!
205," Positionierung: Männern, die Sexismus wagen, Mikros aus den Händen schlagen!"
205, Kritik an der Exekutive / zentralen VS
205, Diskussion Causa Lemmermeyer
205, Wurftraining für StuRa-Mitglieder
205, Institutionalisierung von AKs und AGs
206, Eröffnung der 206. StuRa-Sitzung
206, Termine WiSe 25/26
206, Beschluss der Tagesordnung
206, Beschluss des Protokolls der 202. Sitzung
206, Beschluss des Protokolls der 203. Sitzung
206, Änderungsantrag: Änderung am Protokoll der 203. Sitzung des StuRa
206, Beschluss des Protokolls der 204. Sitzung
206, Beschluss des Protokolls der 205. Sitzung
